date,rented_bike_count,hour,temperaturec,humiditypct,wind_speed_m_s,visibility_10m,dew_point_temperaturec,solar_radiation_mj_m2,rainfallmm,snowfall_cm,seasons,holiday,functioning_day,datetime,weekday,month,Autumn,Spring,Summer,Winter,time_bin,phase0to6,phase7to9,phase10to17,phase18to19,phase20to24,is_raining,is_snowing,temperaturec_squared,is_weekend,is_holiday,is_working_day,temp_rain,temp_snow,humid_rain,lag_1,lag_24,rolling_24_mean,rolling_168_mean
08/12/2017,233,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 00:00:00,4,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,12.25,0,0,1,-0.0,-0.0,0,259.0,198.0,356.2083333333333,342.48809523809524
08/12/2017,230,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 01:00:00,4,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,13.690000000000001,0,0,1,-0.0,-0.0,0,233.0,218.0,357.6666666666667,342.36309523809524
08/12/2017,131,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 02:00:00,4,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,18.49,0,0,1,-0.0,-0.0,0,230.0,149.0,358.1666666666667,342.51785714285717
08/12/2017,99,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 03:00:00,4,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,23.04,0,0,1,-0.0,-0.0,0,131.0,102.0,357.4166666666667,342.26785714285717
08/12/2017,71,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 04:00:00,4,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,28.09,0,0,1,-0.0,-0.0,0,99.0,62.0,357.2916666666667,342.2202380952381
08/12/2017,84,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 05:00:00,4,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,33.64,0,0,1,-0.0,-0.0,0,71.0,83.0,357.6666666666667,342.17857142857144
08/12/2017,158,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 06:00:00,4,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,36.0,0,0,1,-0.0,-0.0,0,84.0,137.0,357.7083333333333,342.0833333333333
08/12/2017,387,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 07:00:00,4,12,0.0,0.0,0.0,1.0,phase7to9,0.0,1.0,0.0,0.0,0.0,0,0,42.25,0,0,1,-0.0,-0.0,0,158.0,367.0,358.5833333333333,341.94642857142856
08/12/2017,780,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 08:00:00,4,12,0.0,0.0,0.0,1.0,phase7to9,0.0,1.0,0.0,0.0,0.0,0,0,49.0,0,0,1,-0.0,-0.0,0,387.0,754.0,359.4166666666667,341.51190476190476
08/12/2017,395,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 09:00:00,4,12,0.0,0.0,0.0,1.0,phase7to9,0.0,1.0,0.0,0.0,0.0,0,0,44.89,0,0,1,-0.0,-0.0,0,780.0,415.0,360.5,340.6190476190476
08/12/2017,261,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 10:00:00,4,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,28.09,0,0,1,-0.0,-0.0,0,395.0,321.0,359.6666666666667,340.05357142857144
08/12/2017,310,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 11:00:00,4,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,13.690000000000001,0,0,1,-0.0,-0.0,0,261.0,333.0,357.1666666666667,339.5892857142857
08/12/2017,355,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 12:00:00,4,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,4.0,0,0,1,-0.0,-0.0,0,310.0,431.0,356.2083333333333,339.2916666666667
08/12/2017,354,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 13:00:00,4,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,2.8899999999999997,0,0,1,-0.0,-0.0,0,355.0,394.0,353.0416666666667,338.73214285714283
08/12/2017,350,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 14:00:00,4,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,1.6900000000000002,0,0,1,-0.0,-0.0,0,354.0,390.0,351.375,338.1547619047619
08/12/2017,362,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 15:00:00,4,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,0.6400000000000001,0,0,1,-0.0,-0.0,0,350.0,430.0,349.7083333333333,337.57738095238096
08/12/2017,401,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 16:00:00,4,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,1.2100000000000002,0,0,1,-0.0,-0.0,0,362.0,471.0,346.875,336.9761904761905
08/12/2017,500,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 17:00:00,4,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,5.76,0,0,1,-0.0,-0.0,0,401.0,552.0,343.9583333333333,336.48214285714283
08/12/2017,752,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 18:00:00,4,12,0.0,0.0,0.0,1.0,phase18to19,0.0,0.0,0.0,1.0,0.0,0,0,9.610000000000001,0,0,1,-0.0,-0.0,0,500.0,795.0,341.7916666666667,336.1547619047619
08/12/2017,477,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 19:00:00,4,12,0.0,0.0,0.0,1.0,phase18to19,0.0,0.0,0.0,1.0,0.0,0,0,10.889999999999999,0,0,1,-0.0,-0.0,0,752.0,507.0,340.0,335.5
08/12/2017,384,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 20:00:00,4,12,0.0,0.0,0.0,1.0,phase20to24,0.0,0.0,0.0,0.0,1.0,0,0,10.889999999999999,0,0,1,-0.0,-0.0,0,477.0,390.0,338.75,334.76785714285717
08/12/2017,336,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 21:00:00,4,12,0.0,0.0,0.0,1.0,phase20to24,0.0,0.0,0.0,0.0,1.0,0,0,10.889999999999999,0,0,1,-0.0,-0.0,0,384.0,402.0,338.5,334.51785714285717
08/12/2017,347,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 22:00:00,4,12,0.0,0.0,0.0,1.0,phase20to24,0.0,0.0,0.0,0.0,1.0,0,0,11.559999999999999,0,0,1,-0.0,-0.0,0,336.0,389.0,335.75,334.10714285714283
08/12/2017,275,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-08 23:00:00,4,12,0.0,0.0,0.0,1.0,phase20to24,0.0,0.0,0.0,0.0,1.0,0,0,12.25,0,0,1,-0.0,-0.0,0,347.0,259.0,334.0,333.80357142857144
09/12/2017,267,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 00:00:00,5,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,12.25,1,0,0,-0.0,-0.0,0,275.0,233.0,334.6666666666667,333.51785714285717
09/12/2017,296,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 01:00:00,5,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,16.81,1,0,0,-0.0,-0.0,0,267.0,230.0,336.0833333333333,333.1547619047619
09/12/2017,237,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 02:00:00,5,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,22.090000000000003,1,0,0,-0.0,-0.0,0,296.0,131.0,338.8333333333333,333.0833333333333
09/12/2017,169,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 03:00:00,5,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,18.49,1,0,0,-0.0,-0.0,0,237.0,99.0,343.25,332.9345238095238
09/12/2017,96,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 04:00:00,5,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,18.49,1,0,0,-0.0,-0.0,0,169.0,71.0,346.1666666666667,332.94642857142856
09/12/2017,56,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 05:00:00,5,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,22.090000000000003,1,0,0,-0.0,-0.0,0,96.0,84.0,347.2083333333333,332.98809523809524
09/12/2017,76,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 06:00:00,5,12,0.0,0.0,0.0,1.0,phase0to6,1.0,0.0,0.0,0.0,0.0,0,0,26.009999999999998,1,0,0,-0.0,-0.0,0,56.0,158.0,346.0416666666667,332.8511904761905
09/12/2017,127,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 07:00:00,5,12,0.0,0.0,0.0,1.0,phase7to9,0.0,1.0,0.0,0.0,0.0,0,0,30.25,1,0,0,-0.0,-0.0,0,76.0,387.0,342.625,332.88690476190476
09/12/2017,222,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 08:00:00,5,12,0.0,0.0,0.0,1.0,phase7to9,0.0,1.0,0.0,0.0,0.0,0,0,29.160000000000004,1,0,0,-0.0,-0.0,0,127.0,780.0,331.7916666666667,332.7738095238095
09/12/2017,291,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 09:00:00,5,12,0.0,0.0,0.0,1.0,phase7to9,0.0,1.0,0.0,0.0,0.0,0,0,22.090000000000003,1,0,0,-0.0,-0.0,0,222.0,395.0,308.5416666666667,332.7916666666667
09/12/2017,273,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,Winter,No Holiday,Yes,2017-12-09 10:00:00,5,12,0.0,0.0,0.0,1.0,phase10to17,0.0,0.0,1.0,0.0,0.0,0,0,4.840000000000001,1,0,0,-0.0,-0.0,0,291.0,261.0,304.2083333333333,332.57142857142856
